Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
2018000,375,Dombivali,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
106000000,2826,Worli,3,0,0,1,1,0,1,0,0,0,1,0,0,0,1
5700000,516,Thane,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2100000,495,Thane,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
3600000,575,Kalyan,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3985000,670,Kalyan,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
18000000,1462,Ghatkopar,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
8500000,676,Ghatkopar,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
125000000,2904,Worli,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2035000,574,Asangaon,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1
8500000,507,Thane,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6600000,550,Thane,2,0,1,1,1,1,1,0,1,0,0,0,0,0,0
6900000,565,Thane,2,0,1,1,1,1,1,0,1,0,0,0,0,0,0
6800000,547,Thane,2,0,1,1,1,1,1,0,1,0,0,0,0,0,0
6700000,556,Thane,2,0,1,1,1,1,1,0,1,0,0,0,0,0,0
3000000,950,Thane,2,0,1,1,1,1,1,0,1,0,0,0,0,0,0
4500000,600,Thane,2,0,1,1,1,1,1,0,1,0,0,0,0,0,0
5300000,600,Thane,2,0,1,1,1,1,1,0,1,0,0,0,0,0,0
3000000,600,Thane,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0
4500000,800,Thane,2,0,1,1,1,1,1,0,1,0,0,0,0,0,0
5300000,275,Thane,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0
3000000,275,Thane,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0
